Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling
2022-01-19,ABC,Household,218658.973,812.0,2,0,0,19,0,0,-0.45785648842427795,177629285.59761795,375731.7458731569,403323.047,604817.603,311793.485287
2022-01-19,XYZ,Beverages,315504.0,1027.0,2,0,0,19,0,0,0.44290442633698834,177944789.59761795,375731.7458731569,218658.973,319725.00002,311190.48528414284
2022-01-19,XYZ,Grocery,460323.678,2409.322,2,0,0,19,0,0,0.45901059257568844,178405113.27561796,375731.7458731569,315504.0,200059.311,348371.1091412857
2022-01-19,XYZ,Household,204574.02,883.0,2,0,0,19,0,0,-0.5555865801020126,178609687.29561797,375731.7458731569,460323.678,509943.700996,304746.86899900006
2022-01-20,ABC,Beverages,271106.0,1033.0,3,0,0,20,0,0,0.3252220394358971,178880793.29561797,416594.60445696174,204574.02,259589.224993,306392.1225714286
2022-01-20,ABC,Grocery,405836.326,2079.778,3,0,0,20,0,0,0.49696548951332686,179286629.62161797,416594.60445696174,271106.0,271255.14,325618.0062857143
2022-01-20,ABC,Household,257406.999,995.0,3,0,0,20,0,0,-0.36573691779380046,179544036.620618,416594.60445696174,405836.326,403323.047,304772.85657142854
2022-01-20,XYZ,Beverages,231575.0,903.0,3,0,0,20,0,0,-0.10035468771383338,179775611.620618,416594.60445696174,257406.999,218658.973,306618.0032857143
2022-01-20,XYZ,Grocery,487795.906,2686.039,3,0,0,20,0,0,1.1064273172838175,180263407.52661797,416594.60445696174,231575.0,315504.0,331231.1327142857
2022-01-20,XYZ,Household,245632.012,968.0,3,0,0,20,0,0,-0.49644511366604216,180509039.53861797,416594.60445696174,487795.906,460323.678,300560.8947142857
2022-01-21,ABC,Beverages,292280.0,1161.0,4,0,0,21,0,0,0.18991005130064242,180801319.53861797,443157.94457545097,245632.012,204574.02,313090.3204285714
2022-01-21,ABC,Grocery,463297.20902,2371.411,4,0,0,21,0,0,0.5851143048446694,181264616.74763796,443157.94457545097,292280.0,271106.0,340546.20743142854
2022-01-21,ABC,Household,255875.0,955.0,4,0,0,21,0,0,-0.44770873854119386,181520491.74763796,443157.94457545097,463297.20902,405836.326,319123.16086
2022-01-21,XYZ,Beverages,308017.0,993.0,4,0,0,21,0,0,0.20377918905715675,181828508.74763796,443157.94457545097,255875.0,257406.999,326353.16100285714
2022-01-21,XYZ,Grocery,497466.887,2753.863,4,0,0,21,0,0,0.6150630874269927,182325975.63463795,443157.94457545097,308017.0,231575.0,364337.7162885714
2022-01-21,XYZ,Household,201955.998,821.0,4,0,0,21,0,0,-0.5940312746886407,182527931.63263795,443157.94457545097,497466.887,487795.906,323503.44371714286
2022-01-22,ABC,Beverages,285967.162,1257.0,5,1,0,22,0,0,0.41598746673520437,182813898.79463795,419304.4207309235,201955.998,245632.012,329265.60800285713
2022-01-22,ABC,Grocery,475489.17899,2267.434,5,1,0,22,0,0,0.6627404897279778,183289387.97362795,419304.4207309235,285967.162,292280.0,355438.3478585714
2022-01-22,ABC,Household,325554.000987,1190.0,5,1,0,22,0,0,-0.31532826534871206,183614941.97461495,419304.4207309235,475489.17899,463297.20902,335760.746711
2022-01-22,XYZ,Beverages,214828.0,924.0,5,1,0,22,0,0,-0.3401156203004905,183829769.97461495,419304.4207309235,325554.000987,255875.0,329896.8895681429
2022-01-22,XYZ,Grocery,614182.604,3362.031,5,1,0,22,0,0,1.858950434766418,184443952.57861495,419304.4207309235,214828.0,308017.0,373634.8329967143
