Date,Store,Department,Revenue,Quantity,day_of_week,is_weekend,is_holiday,day_of_month,is_month_start,is_month_end,Revenue_growth,cumulative_Revenue,Revenue_per_day_of_week,Revenue_lag_1,Revenue_lag_7,Revenue_7day_rolling,Profile,Size
2022-01-13,XYZ,Household,248185.0,957.0,3,0,0,13,0,0,-0.552626993187031,166640160.860609,416594.60445696174,554760.784,509834.515,347721.9708571429,2,2
2022-01-14,ABC,Beverages,192949.538,866.0,4,0,1,14,0,0,-0.2225576162942966,166833110.39860898,443157.94457545097,248185.0,219909.677,343870.5224285714,1,1
2022-01-14,ABC,Grocery,421828.536,2187.497,4,0,1,14,0,0,1.1862116923026789,167254938.934609,443157.94457545097,192949.538,333398.25,356503.4204285714,1,1
2022-01-14,ABC,Household,194229.0,799.0,4,0,1,14,0,0,-0.5395546213118214,167449167.934609,443157.94457545097,421828.536,577075.995,301810.99257142853,1,1
2022-01-14,XYZ,Beverages,270562.06,1078.0,4,0,1,14,0,0,0.3930054729211394,167719729.994609,443157.94457545097,194229.0,319568.0,294810.144,2,2
2022-01-14,XYZ,Grocery,504860.738,2859.478,4,0,1,14,0,0,0.8659701881335469,168224590.732609,443157.94457545097,270562.06,181156.09,341053.6651428571,2,2
2022-01-14,XYZ,Household,233850.0,987.0,4,0,1,14,0,0,-0.5368029589181482,168458440.732609,443157.94457545097,504860.738,554760.784,295209.2674285714,2,2
2022-01-15,ABC,Beverages,211739.0,1034.0,5,1,0,15,0,0,-0.0945520632884328,168670179.732609,419304.4207309235,233850.0,248185.0,290002.696,1,1
2022-01-15,ABC,Grocery,443967.016,2107.406,5,1,0,15,0,0,1.096765432915051,169114146.748609,419304.4207309235,211739.0,192949.538,325862.3357142857,1,1
2022-01-15,ABC,Household,206776.0,801.0,5,1,0,15,0,0,-0.5342536887920522,169320922.748609,419304.4207309235,443967.016,421828.536,295140.5448571429,1,1
2022-01-15,XYZ,Beverages,235791.06,990.0,5,1,0,15,0,0,0.1403212171625334,169556713.808609,419304.4207309235,206776.0,194229.0,301077.982,2,2
2022-01-15,XYZ,Grocery,603255.614,3226.084,5,1,0,15,0,0,1.558432936346272,170159969.422609,419304.4207309235,235791.06,270562.06,348605.6325714286,2,2
2022-01-15,XYZ,Household,309093.841,1115.0,5,1,0,15,0,0,-0.4876237637466892,170469063.263609,419304.4207309235,603255.614,504860.738,320638.933,2,2
2022-01-16,ABC,Beverages,235881.25,808.0,6,1,0,16,0,0,-0.2368620182244265,170704944.513609,430633.82457928616,309093.841,233850.0,320929.11157142854,1,1
2022-01-16,ABC,Grocery,407167.937,1779.437,6,1,0,16,0,0,0.72615643252696,171112112.450609,430633.82457928616,235881.25,211739.0,348847.5311428571,1,1
